#,INEP,ESCOLA,MUNICÍPIO,LOGRADOURO,CEP,Velocidade Link
130,25013840,ECI DOUTOR TRAJANO PIRES DA NOBREGA,Condado,"RUA MIGUEL FERNANDES FERREIRA, SN - CENTRO",58714000,200Mbits
131,25016059,EEEFM MARIA SOLEDADE ASSIS FREITAS,Cajazeirinhas,"RUA ANTONIO CEZARIO DA SILVA, SN - CENTRO",58855000,200Mbits
132,25018060,EEEFM IZIDRA PACIFICO DE ARAUJO,Sousa,"NUCLEO HABITACIONAL I, - SAO GONCALO",58814000,200Mbits
133,25019813,EEEFM ALDO SATIRO XAVIER,Cacimba de Areia,"RUA CAPITAO SILVINO XAVIER, SN - CENTRO",58730000,200Mbits
134,25024175,EEEFM INACIO DA CATINGUEIRA,Catingueira,"RUA TENENTE NICOLAU LOPES, SN - CENTRO",58715000,200Mbits
135,25037234,EEEFM POVOADO SILVESTRE,Tavares,"POVOADO SILVESTRE, SN - CENTRO",58753000,200Mbits
136,25042661,ECI GRACILIANO FONTINI LORDAO,Pedra Lavrada,"RUA PROFESSOR FRANCISCO FERREIRA, 13 - CENTRO",58180000,200Mbits
137,25043870,EEEF INACIO CLAUDINO,São Vicente do Seridó,"RUA MANOEL CORDEIRO, 50 - CENTRO",58158000,200Mbits
138,25072412,ECI VIRGINIUS DA GAMA E MELO,Campina Grande,"RUA PENEDO, SN - MALVINAS",58433146,200Mbits
139,25115219,EEEF PROFESSORA MARGARIDA MEDEIROS,Paulista,"RUA JOAO DANTAS DE ASSIS, 34 - CENTRO",58860000,200Mbits
140,25115359,EEEFM JOAO DE OLIVEIRA CHAVES,Monteiro,"RUA SIZENANDO RAFAEL, 665 - ALTO BELA VISTA",58500000,200Mbits
141,25251945,EEEFM ZULEIDE CAVALCANTE PORTO,Campina Grande,"RUA PROJETADA - QD G - L 06, - GLORIA II",58400002,200Mbits
142,25034820,EEEFM AMERICA FLORENTINO,Juru,"AV CAPITAO DALMO TEIXEIRA, 626 - CENTRO",58750000,200Mbits
143,25043269,EEEM SEVERINO GREGORIO DANTAS,Picuí,"RUA JOSE MARIA DA COSTA LIMA, - ZONA RURAL",58187000,200Mbits
144,25094718,EEEF PROF ADELIA DE FRANCA,João Pessoa,"RUA JOAO RAIMUNDO DE LUCENA, SN - VALENTINA DE FIGUEIREDO",58063620,200Mbits
145,25094955,EEEF ADELAIDE NOVAIS,João Pessoa,"RUA PRESIDENTE FELIX ANTONIO-, SN - CRUZ DAS ARMAS",58085460,200Mbits
146,25098632,ECIT IZAURA FALCAO DE CARVALHO,Lucena,"RUA LUIS ELOI RAMALHO, 161 - CENTRO",58315000,200Mbits
147,25101978,EEIEFM AKAJUTIBIRO,Baía da Traição,"ALDEIA AKAJUTIBIRO, 152 - AREA RURAL",58295000,200Mbits
148,25118579,EEEM PREFEITO SEVERINO PEREIRA GOMES,Baraúna,"RUA MANOEL RODRIGUES, 79 - JARDIM PLANALTO",58188000,200Mbits
149,25012932,EEEFM SAO JOSE OPERARIO,Joca Claudino,"RUA PROJETADA, 01 - CENTRO",58928000,200Mbits
150,25039083,ECI EEF COELHO LISBOA,Santa Luzia,"AVENIDA JOSE AMERICO, SN - CENTRO",58600000,200Mbits
151,25072110,ECI FELIX ARAUJO,Campina Grande,"SEVERINO PIMENTEL, SN - LIBERDADE",58414150,200Mbits
152,25082922,ECI ANA RIBEIRO,Salgado de São Félix,"RUA EUNICE BARBOSA, 10 - CENTRO",58370000,200Mbits
153,25086324,EEEFM MARGARIDA DIAS,Pedro Régis,"AV SENADOR RUY CARNEIRO, 193 - CENTRO",58273000,200Mbits
154,25090992,EEEF SENADOR TEOTONIO VILELA,Bayeux,"RUA CARLOS GOMES, 244 - IMACULADA",58111085,200Mbits
155,25093967,EEEFM PROF MARIA BRONZEADO MACHADO,João Pessoa,"RUA ADAUTO DANTAS, SN - MANGABEIRA II",58057620,200Mbits
156,25094440,EEEFM DR JOAO NAVARRO FILHO,João Pessoa,"RUA PROFESSORA MARIA ALEXANDRINA DE OLIVEIRA LIMA, 034 - VALENTINA FIGUEIREDO",58064375,200Mbits
157,25008951,ESC PROFISSIONAL MONTE CARMELO,Cajazeiras,"RUA VICENTE BEZERRA, 01 - ESPERANCA",58900000,200Mbits
158,25016105,ECI EEM DEPUTADO LEVI OLIMPIO FERREIRA,São Bentinho,"RUA ERNANE ROQUE DE ARRUDA, SN - CENTRO",58857000,200Mbits
159,25022059,EEEFM HERCULANO PEREIRA,Quixaba,"RUA JANUNCIO CANDEIA, SN - CENTRO",58733000,200Mbits
